time,node_id,observed_arrival_rate,waiting_queue_size,idle
0.000,0,0.000,0,true
0.000,1,3.000,3,true
0.000,2,0.000,0,true
0.000,3,3.000,3,true
0.000,4,3.000,3,true
1.000,0,0.000,0,true
1.000,1,1.000,3,false
1.000,2,3.000,3,true
1.000,3,1.000,3,false
1.000,4,6.000,8,false
2.000,0,0.000,0,true
2.000,1,3.000,6,false
2.000,2,0.000,2,false
2.000,3,3.000,6,false
2.000,4,1.000,9,false
3.000,0,0.000,0,true
3.000,1,2.000,8,false
3.000,2,3.000,5,false
3.000,3,5.000,11,false
3.000,4,5.000,14,false
4.000,0,0.000,0,true
4.000,1,0.000,8,false
4.000,2,1.000,5,false
4.000,3,3.000,14,false
4.000,4,5.000,18,false
5.000,0,1.000,1,true
5.000,1,1.000,9,false
5.000,2,1.000,6,false
5.000,3,4.000,18,false
5.000,4,7.000,25,false
6.000,0,0.000,0,false
6.000,1,0.000,9,false
6.000,2,2.000,8,false
6.000,3,3.000,21,false
6.000,4,5.000,30,false
7.000,0,3.000,12,false
7.000,1,0.000,9,false
7.000,2,3.000,11,false
7.000,3,5.000,26,false
7.000,4,3.000,22,false
8.000,0,0.000,12,false
8.000,1,2.000,11,false
8.000,2,2.000,13,false
8.000,3,1.000,26,false
8.000,4,2.000,24,false
9.000,0,2.000,14,false
9.000,1,2.000,13,false
9.000,2,3.000,16,false
9.000,3,9.000,35,false
9.000,4,3.000,27,false
10.000,0,0.000,14,false
10.000,1,1.000,14,false
10.000,2,2.000,18,false
10.000,3,3.000,37,false
10.000,4,6.000,33,false
11.000,0,2.000,16,false
11.000,1,2.000,16,false
11.000,2,5.000,23,false
11.000,3,2.000,39,false
11.000,4,2.000,35,false
12.000,0,1.000,17,false
12.000,1,1.000,17,false
12.000,2,2.000,24,false
12.000,3,3.000,42,false
12.000,4,3.000,38,false
13.000,0,0.000,17,false
13.000,1,0.000,17,false
13.000,2,2.000,26,false
13.000,3,1.000,43,false
13.000,4,4.000,42,false
14.000,0,0.000,17,false
14.000,1,2.000,19,false
14.000,2,3.000,29,false
14.000,3,0.000,43,false
14.000,4,1.000,43,false
15.000,0,1.000,24,false
15.000,1,1.000,24,false
15.000,2,2.000,20,false
15.000,3,0.000,43,false
15.000,4,12.000,54,false
16.000,0,1.000,25,false
16.000,1,2.000,26,false
16.000,2,0.000,20,false
16.000,3,3.000,45,false
16.000,4,3.000,57,false
17.000,0,0.000,25,false
17.000,1,1.000,27,false
17.000,2,3.000,23,false
17.000,3,1.000,46,false
17.000,4,2.000,59,false
18.000,0,0.000,24,false
18.000,1,4.000,31,false
18.000,2,1.000,24,false
18.000,3,3.000,49,false
18.000,4,3.000,62,false
19.000,0,2.000,26,false
19.000,1,4.000,35,false
19.000,2,2.000,26,false
19.000,3,3.000,52,false
19.000,4,1.000,63,false
20.000,0,0.000,26,false
20.000,1,1.000,35,false
20.000,2,2.000,28,false
20.000,3,4.000,56,false
20.000,4,3.000,65,false
21.000,0,1.000,27,false
21.000,1,3.000,38,false
21.000,2,2.000,30,false
21.000,3,1.000,57,false
21.000,4,5.000,70,false
22.000,0,0.000,27,false
22.000,1,1.000,38,false
22.000,2,1.000,31,false
22.000,3,2.000,59,false
22.000,4,6.000,76,false
23.000,0,1.000,28,false
23.000,1,1.000,39,false
23.000,2,3.000,34,false
23.000,3,6.000,65,false
23.000,4,6.000,82,false
24.000,0,0.000,28,false
24.000,1,1.000,40,false
24.000,2,1.000,35,false
24.000,3,4.000,68,false
24.000,4,4.000,86,false
25.000,0,0.000,28,false
25.000,1,1.000,41,false
25.000,2,2.000,37,false
25.000,3,7.000,75,false
25.000,4,7.000,93,false
26.000,0,3.000,31,false
26.000,1,1.000,42,false
26.000,2,3.000,40,false
26.000,3,2.000,77,false
26.000,4,3.000,95,false
27.000,0,1.000,32,false
27.000,1,2.000,44,false
27.000,2,2.000,41,false
27.000,3,1.000,77,false
27.000,4,5.000,100,false
28.000,0,1.000,33,false
28.000,1,1.000,45,false
28.000,2,1.000,42,false
28.000,3,1.000,78,false
28.000,4,6.000,106,false
29.000,0,1.000,34,false
29.000,1,1.000,45,false
29.000,2,1.000,43,false
29.000,3,4.000,82,false
29.000,4,4.000,110,false
30.000,0,0.000,34,false
30.000,1,1.000,46,false
30.000,2,3.000,45,false
30.000,3,2.000,84,false
30.000,4,8.000,118,false
31.000,0,0.000,34,false
31.000,1,1.000,47,false
31.000,2,3.000,48,false
31.000,3,5.000,89,false
31.000,4,2.000,120,false
32.000,0,1.000,34,false
32.000,1,1.000,48,false
32.000,2,2.000,50,false
32.000,3,2.000,91,false
32.000,4,0.000,120,false
33.000,0,1.000,35,false
33.000,1,1.000,49,false
33.000,2,4.000,54,false
33.000,3,4.000,95,false
33.000,4,2.000,122,false
34.000,0,0.000,35,false
34.000,1,3.000,52,false
34.000,2,2.000,56,false
34.000,3,4.000,99,false
34.000,4,4.000,125,false
35.000,0,1.000,36,false
35.000,1,2.000,54,false
35.000,2,4.000,60,false
35.000,3,2.000,101,false
35.000,4,5.000,130,false
36.000,0,0.000,36,false
36.000,1,0.000,54,false
36.000,2,1.000,60,false
36.000,3,0.000,101,false
36.000,4,2.000,132,false
37.000,0,1.000,37,false
37.000,1,1.000,55,false
37.000,2,1.000,61,false
37.000,3,5.000,106,false
37.000,4,3.000,135,false
38.000,0,2.000,39,false
38.000,1,2.000,57,false
38.000,2,2.000,63,false
38.000,3,0.000,106,false
38.000,4,2.000,137,false
39.000,0,0.000,39,false
39.000,1,1.000,58,false
39.000,2,0.000,62,false
39.000,3,2.000,108,false
39.000,4,6.000,143,false
40.000,0,2.000,40,false
40.000,1,1.000,59,false
40.000,2,2.000,64,false
40.000,3,4.000,111,false
40.000,4,5.000,148,false
41.000,0,0.000,40,false
41.000,1,1.000,60,false
41.000,2,0.000,63,false
41.000,3,4.000,115,false
41.000,4,2.000,150,false
42.000,0,0.000,40,false
42.000,1,1.000,61,false
42.000,2,3.000,66,false
42.000,3,0.000,115,false
42.000,4,2.000,151,false
43.000,0,5.000,45,false
43.000,1,1.000,62,false
43.000,2,2.000,68,false
43.000,3,3.000,118,false
43.000,4,4.000,155,false
44.000,0,1.000,46,false
44.000,1,0.000,62,false
44.000,2,3.000,71,false
44.000,3,1.000,119,false
44.000,4,4.000,159,false
45.000,0,1.000,46,false
45.000,1,0.000,62,false
45.000,2,0.000,71,false
45.000,3,1.000,120,false
45.000,4,1.000,160,false
46.000,0,0.000,46,false
46.000,1,1.000,62,false
46.000,2,3.000,73,false
46.000,3,2.000,122,false
46.000,4,4.000,163,false
47.000,0,1.000,47,false
47.000,1,2.000,64,false
47.000,2,2.000,75,false
47.000,3,2.000,124,false
47.000,4,3.000,166,false
48.000,0,0.000,46,false
48.000,1,3.000,67,false
48.000,2,2.000,77,false
48.000,3,4.000,128,false
48.000,4,3.000,169,false
49.000,0,2.000,48,false
49.000,1,1.000,67,false
49.000,2,4.000,81,false
49.000,3,3.000,131,false
49.000,4,4.000,173,false
50.000,0,1.000,49,false
50.000,1,1.000,68,false
50.000,2,5.000,86,false
50.000,3,4.000,135,false
50.000,4,4.000,177,false
51.000,0,1.000,50,false
51.000,1,0.000,68,false
51.000,2,1.000,86,false
51.000,3,3.000,138,false
51.000,4,6.000,183,false
52.000,0,0.000,49,false
52.000,1,0.000,68,false
52.000,2,1.000,87,false
52.000,3,5.000,143,false
52.000,4,3.000,186,false
53.000,0,0.000,49,false
53.000,1,2.000,70,false
53.000,2,5.000,92,false
53.000,3,4.000,147,false
53.000,4,4.000,190,false
54.000,0,0.000,59,false
54.000,1,1.000,60,false
54.000,2,2.000,93,false
54.000,3,0.000,147,false
54.000,4,5.000,195,false
55.000,0,2.000,61,false
55.000,1,2.000,62,false
55.000,2,4.000,97,false
55.000,3,2.000,149,false
55.000,4,3.000,198,false
56.000,0,0.000,61,false
56.000,1,0.000,62,false
56.000,2,2.000,99,false
56.000,3,0.000,149,false
56.000,4,6.000,203,false
57.000,0,2.000,63,false
57.000,1,4.000,66,false
57.000,2,2.000,101,false
57.000,3,4.000,153,false
57.000,4,1.000,204,false
58.000,0,0.000,63,false
58.000,1,0.000,66,false
58.000,2,4.000,105,false
58.000,3,3.000,156,false
58.000,4,6.000,210,false
59.000,0,0.000,63,false
59.000,1,1.000,67,false
59.000,2,1.000,106,false
59.000,3,1.000,157,false
59.000,4,4.000,213,false
60.000,0,0.000,62,false
60.000,1,0.000,67,false
60.000,2,1.000,106,false
60.000,3,1.000,158,false
60.000,4,3.000,216,false
61.000,0,0.000,62,false
61.000,1,0.000,67,false
61.000,2,2.000,108,false
61.000,3,4.000,161,false
61.000,4,4.000,220,false
62.000,0,1.000,63,false
62.000,1,1.000,68,false
62.000,2,2.000,110,false
62.000,3,1.000,162,false
62.000,4,4.000,224,false
63.000,0,1.000,64,false
