time,node_id,observed_arrival_rate,smoothed_arrival_rate,waiting_queue_size,idle,predicted_queue_size,proactive_queue_threshold,proactive_risk
0.000,0,1.000,1.000,0,false,8.476,9.600,false
0.000,1,2.000,2.000,0,false,18.476,16.800,true
0.000,2,2.000,2.000,1,false,19.476,25.200,false
0.000,3,5.000,5.000,2,false,52.476,36.000,true
0.000,4,4.000,4.000,4,false,42.476,48.000,false
1.000,0,1.000,1.000,1,false,10.476,9.600,true
1.000,1,0.000,1.400,2,false,14.476,16.800,false
1.000,2,1.000,1.700,2,false,17.476,25.200,false
1.000,3,0.000,3.500,2,false,35.476,36.000,false
1.000,4,4.000,4.000,8,false,46.476,48.000,false
2.000,0,0.000,0.700,1,false,6.476,9.600,false
2.000,1,1.000,1.280,3,false,14.276,16.800,false
2.000,2,2.000,1.790,4,false,20.376,25.200,false
2.000,3,7.000,4.550,9,false,52.976,36.000,true
2.000,4,6.000,4.600,14,false,58.476,48.000,false
3.000,0,1.000,0.790,2,false,8.376,9.600,false
3.000,1,1.000,1.196,4,false,14.436,16.800,false
3.000,2,1.000,1.553,5,false,19.006,25.200,false
3.000,3,5.000,4.685,14,false,59.326,36.000,true
3.000,4,5.000,4.720,19,false,64.676,48.000,false
4.000,0,0.000,0.553,2,false,6.006,9.600,false
4.000,1,2.000,1.437,6,false,18.848,16.800,false
4.000,2,1.000,1.387,6,false,18.347,25.200,false
4.000,3,1.000,3.579,15,false,49.271,36.000,false
4.000,4,3.000,4.204,21,false,61.516,48.000,false
5.000,0,0.000,0.387,1,false,3.347,9.600,false
5.000,1,4.000,2.206,10,false,30.537,16.800,true
5.000,2,1.000,1.271,7,false,18.186,25.200,false
5.000,3,2.000,3.106,16,false,45.533,36.000,false
5.000,4,4.000,4.143,25,false,64.904,48.000,false
6.000,0,0.000,0.271,1,false,2.186,9.600,false
6.000,1,1.000,1.844,11,false,27.918,16.800,true
6.000,2,0.000,0.890,7,false,14.373,25.200,false
6.000,3,2.000,2.774,18,false,44.216,36.000,false
6.000,4,5.000,4.400,30,false,72.476,48.000,false
7.000,0,0.000,0.190,1,false,1.373,9.600,false
7.000,1,3.000,2.191,14,false,34.386,16.800,true
7.000,2,5.000,2.123,12,false,31.704,25.200,false
7.000,3,1.000,2.242,19,false,39.894,36.000,false
7.000,4,1.000,3.380,31,false,63.276,48.000,false
8.000,0,0.000,0.133,1,false,0.804,9.600,false
8.000,1,4.000,2.734,18,false,43.813,16.800,true
