time,node_id,observed_arrival_rate,waiting_queue_size,idle
0.000,0,0.000,0,true
0.000,1,0.000,0,true
0.000,2,2.000,2,true
0.000,3,0.000,0,true
0.000,4,4.000,4,true
1.000,0,0.000,0,true
1.000,1,2.000,2,true
1.000,2,2.000,3,false
1.000,3,5.000,5,true
1.000,4,2.000,3,false
2.000,0,0.000,0,true
2.000,1,1.000,2,false
2.000,2,3.000,6,false
2.000,3,2.000,6,false
2.000,4,7.000,10,false
3.000,0,2.000,2,true
3.000,1,0.000,2,false
3.000,2,3.000,9,false
3.000,3,4.000,10,false
3.000,4,4.000,14,false
4.000,0,0.000,1,false
4.000,1,2.000,4,false
4.000,2,3.000,12,false
4.000,3,3.000,13,false
4.000,4,5.000,19,false
5.000,0,2.000,3,false
5.000,1,0.000,4,false
5.000,2,4.000,16,false
5.000,3,2.000,15,false
5.000,4,4.000,23,false
6.000,0,2.000,4,false
6.000,1,2.000,6,false
6.000,2,3.000,19,false
6.000,3,6.000,20,false
6.000,4,3.000,26,false
7.000,0,3.000,7,false
7.000,1,2.000,7,false
7.000,2,1.000,20,false
7.000,3,3.000,23,false
7.000,4,7.000,33,false
8.000,0,2.000,9,false
8.000,1,2.000,9,false
8.000,2,0.000,20,false
8.000,3,2.000,25,false
8.000,4,5.000,38,false
9.000,0,0.000,9,false
9.000,1,2.000,11,false
9.000,2,3.000,23,false
9.000,3,1.000,26,false
9.000,4,8.000,46,false
10.000,0,0.000,9,false
10.000,1,1.000,12,false
10.000,2,0.000,23,false
10.000,3,3.000,29,false
10.000,4,5.000,51,false
11.000,0,1.000,10,false
11.000,1,3.000,15,false
11.000,2,4.000,26,false
11.000,3,4.000,33,false
11.000,4,5.000,56,false
12.000,0,0.000,10,false
12.000,1,2.000,17,false
12.000,2,2.000,28,false
12.000,3,4.000,36,false
12.000,4,4.000,60,false
13.000,0,1.000,10,false
13.000,1,1.000,18,false
13.000,2,2.000,30,false
13.000,3,1.000,37,false
13.000,4,4.000,64,false
