time,node_id,observed_arrival_rate,smoothed_arrival_rate,waiting_queue_size,idle,predicted_queue_size,proactive_queue_threshold,proactive_risk
0.000,0,1.000,1.000,0,false,8.476,9.600,false
0.000,1,3.000,3.000,1,false,29.476,16.800,true
0.000,2,0.000,0.000,0,true,0.000,25.200,false
0.000,3,4.000,4.000,1,false,41.476,36.000,true
0.000,4,2.000,2.000,1,false,19.476,48.000,false
1.000,0,1.000,1.000,1,false,10.476,9.600,true
1.000,1,1.000,2.400,3,false,25.476,16.800,true
1.000,2,5.000,1.500,6,false,19.476,25.200,false
1.000,3,2.000,3.400,3,false,35.476,36.000,false
1.000,4,8.000,3.800,9,false,45.476,48.000,false
2.000,0,2.000,1.300,3,false,14.476,9.600,true
2.000,1,3.000,2.580,6,false,30.276,16.800,true
2.000,2,0.000,1.050,6,false,14.976,25.200,false
2.000,3,3.000,3.280,6,false,37.276,36.000,false
2.000,4,5.000,4.160,14,false,54.076,48.000,false
3.000,0,1.000,1.210,4,false,14.576,9.600,true
3.000,1,1.000,2.106,7,false,26.536,16.800,true
3.000,2,2.000,1.335,8,false,19.826,25.200,false
3.000,3,3.000,3.196,9,false,39.436,36.000,false
3.000,4,5.000,4.412,19,false,61.596,48.000,false
4.000,0,1.000,1.147,5,false,14.946,9.600,true
4.000,1,4.000,2.674,11,false,36.218,16.800,true
4.000,2,4.000,2.135,11,false,30.821,25.200,false
4.000,3,5.000,3.737,14,false,49.848,36.000,true
4.000,4,2.000,3.688,21,false,56.360,48.000,false
5.000,0,1.000,1.103,6,false,15.505,9.600,true
5.000,1,0.000,1.872,11,false,28.196,16.800,true
5.000,2,1.000,1.794,12,false,28.418,25.200,false
5.000,3,6.000,4.416,19,false,61.637,36.000,true
5.000,4,3.000,3.482,24,false,57.295,48.000,false
6.000,0,0.000,0.772,5,false,11.196,9.600,false
6.000,1,3.000,2.210,14,false,34.580,16.800,true
6.000,2,1.000,1.556,13,false,27.035,25.200,false
6.000,3,1.000,3.391,20,false,52.388,36.000,false
6.000,4,4.000,3.637,27,false,61.849,48.000,false
7.000,0,2.000,1.140,7,false,16.880,9.600,true
7.000,1,6.000,3.347,20,false,51.949,16.800,true
7.000,2,0.000,1.089,13,false,22.368,25.200,false
7.000,3,4.000,3.574,24,false,58.215,36.000,false
7.000,4,6.000,4.346,33,false,74.937,48.000,false
8.000,0,1.000,1.098,8,false,17.459,9.600,true
8.000,1,5.000,3.843,25,false,61.907,16.800,true
8.000,2,1.000,1.062,14,false,23.100,25.200,false
8.000,3,1.000,2.802,25,false,51.493,36.000,false
8.000,4,3.000,3.942,36,false,73.899,48.000,false
9.000,0,0.000,0.769,8,false,14.164,9.600,false
9.000,1,2.000,3.290,27,false,58.378,16.800,true
9.000,2,2.000,1.344,15,false,26.913,25.200,false
9.000,3,2.000,2.561,26,false,50.088,36.000,false
9.000,4,3.000,3.660,39,false,74.072,48.000,false
10.000,0,0.000,0.538,8,false,11.858,9.600,false
10.000,1,1.000,2.603,28,false,52.507,16.800,true
10.000,2,2.000,1.541,17,false,30.882,25.200,false
10.000,3,3.000,2.693,29,false,54.405,36.000,false
10.000,4,6.000,4.362,44,false,86.093,48.000,false
11.000,0,0.000,0.377,8,false,10.243,9.600,false
11.000,1,2.000,2.422,30,false,52.698,16.800,true
11.000,2,4.000,2.278,21,false,42.260,25.200,false
11.000,3,3.000,2.785,31,false,57.326,36.000,false
11.000,4,4.000,4.253,48,false,89.008,48.000,false
12.000,0,0.000,0.264,8,false,9.113,9.600,false
12.000,1,1.000,1.996,30,false,48.431,16.800,true
12.000,2,1.000,1.895,22,false,39.425,25.200,false
12.000,3,5.000,3.449,36,false,68.971,36.000,false
12.000,4,4.000,4.177,52,false,92.249,48.000,false
13.000,0,0.000,0.185,8,false,8.322,9.600,false
13.000,1,3.000,2.297,33,false,54.445,16.800,true
13.000,2,3.000,2.226,25,false,45.740,25.200,false
13.000,3,3.000,3.315,39,false,70.623,36.000,false
13.000,4,2.000,3.524,53,false,86.717,48.000,false
14.000,0,0.000,0.129,8,false,7.768,9.600,false
14.000,1,3.000,2.508,36,false,59.554,16.800,true
14.000,2,3.000,2.458,28,false,51.061,25.200,false
14.000,3,2.000,2.920,41,false,68.679,36.000,false
14.000,4,5.000,3.967,58,false,96.145,48.000,false
15.000,0,0.000,0.090,8,false,7.381,9.600,false
15.000,1,1.000,2.055,37,false,56.031,16.800,true
15.000,2,2.000,2.321,30,false,51.686,25.200,false
15.000,3,2.000,2.644,43,false,67.918,36.000,false
15.000,4,4.000,3.977,62,false,100.244,48.000,false
16.000,0,1.000,0.363,9,false,11.109,9.600,false
16.000,1,1.000,1.739,37,false,52.864,16.800,true
16.000,2,3.000,2.525,23,false,56.723,25.200,true
16.000,3,2.000,2.451,45,false,67.985,36.000,false
16.000,4,2.000,3.384,64,false,96.314,48.000,false
17.000,0,0.000,0.254,18,false,19.019,9.600,false
17.000,1,0.000,1.217,37,false,47.648,16.800,false
17.000,2,3.000,2.667,26,false,51.149,25.200,true
17.000,3,3.000,2.616,48,false,72.633,36.000,false
17.000,4,3.000,3.269,67,false,98.162,48.000,false
18.000,0,1.000,0.478,19,false,22.256,9.600,false
18.000,1,3.000,1.752,40,false,55.996,16.800,true
18.000,2,1.000,2.167,27,false,47.147,25.200,false
18.000,3,2.000,2.431,50,false,72.786,36.000,false
18.000,4,3.000,3.188,69,false,99.357,48.000,false
19.000,0,0.000,0.335,19,false,20.822,9.600,false
19.000,1,1.000,1.526,41,false,54.740,16.800,false
19.000,2,4.000,2.717,31,false,56.646,25.200,true
19.000,3,3.000,2.602,52,false,76.493,36.000,false
19.000,4,6.000,4.032,75,false,113.792,48.000,false
20.000,0,1.000,0.534,19,false,22.819,9.600,false
20.000,1,1.000,1.368,42,false,54.161,16.800,false
20.000,2,0.000,1.902,31,false,48.495,25.200,false
20.000,3,2.000,2.421,54,false,76.688,36.000,false
20.000,4,4.000,4.022,79,false,117.698,48.000,false
21.000,0,0.000,0.374,19,false,21.216,9.600,false
21.000,1,0.000,0.958,42,false,50.056,16.800,false
21.000,2,1.000,1.631,32,false,46.789,25.200,false
21.000,3,2.000,2.295,56,false,77.424,36.000,false
21.000,4,7.000,4.915,76,false,133.631,48.000,true
22.000,0,1.000,0.562,30,false,34.094,9.600,false
22.000,1,5.000,2.171,47,false,67.182,16.800,true
22.000,2,1.000,1.442,32,false,44.895,25.200,false
22.000,3,4.000,2.806,60,false,86.540,36.000,false
22.000,4,2.000,4.041,78,false,116.885,48.000,false
23.000,0,0.000,0.393,29,false,31.409,9.600,false
23.000,1,1.000,1.819,48,false,64.670,16.800,true
23.000,2,5.000,2.509,37,false,60.570,25.200,false
23.000,3,2.000,2.564,62,false,86.121,36.000,false
23.000,4,7.000,4.929,85,false,132.762,48.000,true
24.000,0,0.000,0.275,29,false,30.229,9.600,false
24.000,1,1.000,1.574,49,false,63.212,16.800,false
24.000,2,0.000,1.757,37,false,53.042,25.200,false
24.000,3,2.000,2.395,64,false,86.427,36.000,false
24.000,4,4.000,4.650,89,false,133.976,48.000,false
25.000,0,0.000,0.193,29,false,29.403,9.600,false
25.000,1,0.000,1.102,49,false,58.491,16.800,false
25.000,2,1.000,1.530,37,false,50.772,25.200,false
25.000,3,2.000,2.277,65,false,86.242,36.000,false
25.000,4,3.000,4.155,92,false,132.026,48.000,false
26.000,0,0.000,0.135,29,false,28.825,9.600,false
26.000,1,3.000,1.671,52,false,67.187,16.800,false
26.000,2,4.000,2.271,41,false,62.183,25.200,false
26.000,3,4.000,2.794,69,false,95.412,36.000,false
26.000,4,3.000,3.809,95,false,131.561,48.000,false
27.000,0,1.000,0.394,30,false,32.420,9.600,false
27.000,1,0.000,1.170,52,false,62.174,16.800,false
27.000,2,4.000,2.789,44,false,70.371,25.200,true
27.000,3,4.000,3.156,72,false,102.031,36.000,false
27.000,4,5.000,4.166,100,false,140.136,48.000,false
28.000,0,0.000,0.276,29,false,30.237,9.600,false
28.000,1,1.000,1.119,53,false,62.664,16.800,false
28.000,2,1.000,2.253,45,false,66.003,25.200,false
28.000,3,2.000,2.809,74,false,100.565,36.000,false
28.000,4,1.000,3.216,100,false,130.638,48.000,false
29.000,0,1.000,0.493,30,false,33.409,9.600,false
29.000,1,1.000,1.083,54,false,63.308,16.800,false
29.000,2,2.000,2.177,47,false,67.245,25.200,false
29.000,3,1.000,2.266,75,false,96.138,36.000,false
29.000,4,6.000,4.051,106,false,144.989,48.000,false
30.000,0,1.000,0.645,31,false,35.929,9.600,false
30.000,1,1.000,1.058,54,false,63.058,16.800,false
30.000,2,1.000,1.824,48,false,64.714,25.200,false
30.000,3,1.000,1.886,75,false,92.340,36.000,false
30.000,4,3.000,3.736,109,false,144.835,48.000,false
31.000,0,0.000,0.452,31,false,33.993,9.600,false
31.000,1,0.000,0.741,54,false,59.884,16.800,false
31.000,2,1.000,1.577,49,false,63.243,25.200,false
31.000,3,5.000,2.820,80,false,106.681,36.000,false
31.000,4,10.000,5.615,119,false,173.628,48.000,true
32.000,0,0.000,0.316,31,false,32.638,9.600,false
32.000,1,3.000,1.419,57,false,69.661,16.800,false
32.000,2,4.000,2.304,52,false,73.513,25.200,false
32.000,3,3.000,2.874,83,false,110.219,36.000,false
32.000,4,2.000,4.531,121,false,164.782,48.000,false
33.000,0,2.000,0.821,33,false,39.690,9.600,false
33.000,1,0.000,0.993,57,false,65.406,16.800,false
33.000,2,3.000,2.513,55,false,78.602,25.200,false
33.000,3,4.000,3.212,86,false,116.596,36.000,false
33.000,4,3.000,4.071,124,false,163.190,48.000,false
34.000,0,1.000,0.875,34,false,41.226,9.600,false
34.000,1,2.000,1.295,58,false,69.427,16.800,false
34.000,2,3.000,2.659,58,false,83.064,25.200,true
34.000,3,4.000,3.448,90,false,122.960,36.000,false
34.000,4,6.000,4.650,130,false,174.976,48.000,false
35.000,0,0.000,0.612,34,false,38.601,9.600,false
35.000,1,0.000,0.907,58,false,65.542,16.800,false
35.000,2,4.000,3.061,62,false,91.088,25.200,true
35.000,3,4.000,3.614,94,false,128.615,36.000,true
35.000,4,6.000,5.055,136,false,185.026,48.000,true
36.000,0,0.000,0.429,34,false,36.763,9.600,false
36.000,1,1.000,0.935,59,false,66.822,16.800,false
36.000,2,3.000,3.043,65,false,93.904,25.200,true
36.000,3,1.000,2.830,95,false,121.773,36.000,false
36.000,4,6.000,5.338,142,false,193.861,48.000,true
37.000,0,1.000,0.600,35,false,39.477,9.600,false
37.000,1,2.000,1.254,61,false,72.018,16.800,false
37.000,2,2.000,2.730,67,false,92.776,25.200,true
37.000,3,5.000,3.481,100,false,133.284,36.000,false
37.000,4,5.000,5.237,147,false,197.846,48.000,true
38.000,0,0.000,0.420,35,false,37.677,9.600,false
38.000,1,1.000,1.178,62,false,72.256,16.800,false
38.000,2,2.000,2.511,69,false,92.586,25.200,false
38.000,3,1.000,2.737,101,false,126.842,36.000,false
38.000,4,6.000,5.466,153,false,206.135,48.000,true
39.000,0,1.000,0.594,36,false,40.417,9.600,false
39.000,1,2.000,1.425,63,false,75.722,16.800,false
39.000,2,4.000,2.958,72,false,100.053,25.200,true
39.000,3,2.000,2.516,102,false,125.632,36.000,false
39.000,4,3.000,4.726,156,false,201.737,48.000,false
40.000,0,0.000,0.416,36,false,38.635,9.600,false
40.000,1,2.000,1.597,65,false,79.448,16.800,false
40.000,2,5.000,3.570,77,false,111.180,25.200,true
40.000,3,2.000,2.361,104,false,126.085,36.000,false
40.000,4,5.000,4.808,161,false,207.559,48.000,true
41.000,0,0.000,0.291,36,false,37.387,9.600,false
41.000,1,3.000,2.018,58,false,86.657,16.800,true
41.000,2,0.000,2.499,77,false,100.469,25.200,false
41.000,3,0.000,1.653,103,false,118.003,36.000,false
41.000,4,3.000,4.266,164,false,205.134,48.000,false
42.000,0,0.000,0.204,46,false,46.514,9.600,false
42.000,1,0.000,1.413,58,false,70.602,16.800,false
42.000,2,0.000,1.749,77,false,92.971,25.200,false
42.000,3,4.000,2.357,107,false,129.045,36.000,false
42.000,4,0.000,2.986,164,false,192.337,48.000,false
43.000,0,1.000,0.443,46,false,48.903,9.600,false
43.000,1,1.000,1.289,59,false,70.365,16.800,false
43.000,2,2.000,1.825,79,false,95.723,25.200,false
43.000,3,3.000,2.550,110,false,133.974,36.000,false
43.000,4,8.000,4.490,172,false,215.379,48.000,false
44.000,0,1.000,0.610,47,false,51.575,9.600,false
44.000,1,1.000,1.202,60,false,70.498,16.800,false
44.000,2,2.000,1.877,80,false,97.249,25.200,false
44.000,3,0.000,1.785,110,false,126.325,36.000,false
