time,node_id,observed_arrival_rate,smoothed_arrival_rate,waiting_queue_size,idle,predicted_queue_size,proactive_queue_threshold,proactive_risk
0.000,0,2.000,2.000,0,false,19.476,9.600,true
0.000,1,1.000,1.000,1,false,9.476,16.800,false
0.000,2,2.000,2.000,1,false,19.476,25.200,false
0.000,3,1.000,1.000,0,false,8.476,36.000,false
0.000,4,4.000,4.000,3,false,41.476,48.000,false
1.000,0,3.000,2.300,3,false,24.476,9.600,true
1.000,1,2.000,1.300,3,false,14.476,16.800,false
1.000,2,1.000,1.700,2,false,17.476,25.200,false
1.000,3,4.000,1.900,4,false,21.476,36.000,false
1.000,4,5.000,4.300,8,false,49.476,48.000,false
2.000,0,0.000,1.610,3,false,17.576,9.600,true
2.000,1,0.000,0.910,3,false,10.576,16.800,false
2.000,2,3.000,2.090,5,false,24.376,25.200,false
2.000,3,4.000,2.530,8,false,31.776,36.000,false
2.000,4,1.000,3.310,9,false,40.576,48.000,false
3.000,0,0.000,1.127,2,false,11.746,9.600,true
3.000,1,0.000,0.637,3,false,7.846,16.800,false
3.000,2,2.000,2.063,6,false,25.106,25.200,false
3.000,3,5.000,3.271,13,false,44.186,36.000,false
3.000,4,4.000,3.517,13,false,46.646,48.000,false
4.000,0,1.000,1.089,3,false,12.365,9.600,true
4.000,1,2.000,1.046,5,false,13.935,16.800,false
4.000,2,3.000,2.344,9,false,30.917,25.200,false
4.000,3,4.000,3.490,17,false,50.373,36.000,false
4.000,4,3.000,3.362,16,false,48.095,48.000,false
5.000,0,1.000,1.062,4,false,13.098,9.600,true
5.000,1,3.000,1.632,8,false,22.797,16.800,false
5.000,2,5.000,3.141,8,false,43.885,25.200,true
5.000,3,8.000,4.843,15,false,71.904,36.000,true
5.000,4,5.000,3.853,21,false,58.009,48.000,false
6.000,0,1.000,1.044,13,false,21.912,9.600,true
6.000,1,1.000,1.442,13,false,25.901,16.800,false
6.000,2,3.000,3.099,15,false,44.462,25.200,true
6.000,3,2.000,3.990,16,false,54.376,36.000,true
6.000,4,4.000,3.897,25,false,62.450,48.000,false
7.000,0,3.000,1.630,16,false,30.781,9.600,true
7.000,1,5.000,2.510,10,false,41.574,16.800,true
7.000,2,1.000,2.469,19,false,42.166,25.200,false
7.000,3,3.000,3.693,21,false,56.406,36.000,true
7.000,4,7.000,4.828,22,false,78.758,48.000,true
8.000,0,0.000,1.141,20,false,29.890,9.600,true
8.000,1,0.000,1.757,19,false,35.044,16.800,true
8.000,2,1.000,2.028,20,false,38.759,25.200,false
8.000,3,3.000,3.485,24,false,57.327,36.000,false
8.000,4,3.000,4.280,25,false,66.273,48.000,false
9.000,0,0.000,0.799,20,false,26.466,9.600,false
9.000,1,2.000,1.830,21,false,37.774,16.800,true
9.000,2,3.000,2.320,23,false,44.674,25.200,false
9.000,3,1.000,2.740,25,false,50.872,36.000,false
9.000,4,4.000,4.196,29,false,69.434,48.000,false
10.000,0,1.000,0.859,20,false,27.069,9.600,false
10.000,1,1.000,1.581,22,false,36.285,16.800,false
10.000,2,1.000,1.924,23,false,40.715,25.200,false
10.000,3,2.000,2.518,26,false,49.653,36.000,false
10.000,4,6.000,4.737,35,false,80.847,48.000,false
11.000,0,1.000,0.901,21,false,28.491,9.600,false
11.000,1,1.000,1.407,23,false,35.542,16.800,false
11.000,2,1.000,1.647,24,false,38.943,25.200,false
11.000,3,1.000,2.062,27,false,46.100,36.000,false
11.000,4,4.000,4.516,39,false,82.636,48.000,false
12.000,0,1.000,0.931,22,false,29.787,9.600,false
12.000,1,2.000,1.585,24,false,38.322,16.800,false
12.000,2,2.000,1.753,26,false,42.003,25.200,false
12.000,3,5.000,2.944,32,false,59.913,36.000,false
12.000,4,2.000,3.761,41,false,77.088,48.000,false
13.000,0,0.000,0.652,22,false,26.993,9.600,false
13.000,1,2.000,1.709,26,false,41.568,16.800,true
13.000,2,2.000,1.827,27,false,43.745,25.200,false
13.000,3,3.000,2.961,34,false,62.082,36.000,false
13.000,4,2.000,3.233,43,false,73.804,48.000,false
14.000,0,0.000,0.456,21,false,24.038,9.600,false
14.000,1,2.000,1.796,28,false,44.441,16.800,true
14.000,2,2.000,1.879,29,false,46.264,25.200,false
14.000,3,5.000,3.572,39,false,73.200,36.000,false
14.000,4,4.000,3.463,46,false,79.106,48.000,false
15.000,0,1.000,0.619,22,false,26.670,9.600,false
15.000,1,2.000,1.858,30,false,47.051,16.800,true
15.000,2,2.000,1.915,31,false,48.628,25.200,false
15.000,3,3.000,3.401,42,false,74.483,36.000,false
15.000,4,7.000,4.524,53,false,96.717,48.000,false
16.000,0,1.000,0.734,22,false,27.812,9.600,false
16.000,1,0.000,1.300,30,false,41.479,16.800,false
16.000,2,2.000,1.941,33,false,50.882,25.200,false
16.000,3,2.000,2.980,44,false,72.281,36.000,false
16.000,4,5.000,4.667,58,false,103.145,48.000,false
17.000,0,0.000,0.513,22,false,25.611,9.600,false
17.000,1,0.000,0.910,30,false,37.578,16.800,false
17.000,2,1.000,1.658,34,false,49.061,25.200,false
17.000,3,5.000,3.586,48,false,82.340,36.000,false
17.000,4,3.000,4.167,61,false,101.144,48.000,false
18.000,0,2.000,0.959,24,false,32.071,9.600,false
18.000,1,1.000,0.937,30,false,37.847,16.800,false
18.000,2,2.000,1.761,36,false,52.085,25.200,false
18.000,3,4.000,3.710,52,false,87.581,36.000,true
18.000,4,4.000,4.117,64,false,103.644,48.000,false
19.000,0,0.000,0.672,24,false,29.192,9.600,false
19.000,1,2.000,1.256,32,false,43.036,16.800,false
19.000,2,1.000,1.533,37,false,50.803,25.200,false
19.000,3,1.000,2.897,52,false,79.449,36.000,false
19.000,4,3.000,3.782,67,false,103.293,48.000,false
20.000,0,2.000,1.070,26,false,35.177,9.600,true
20.000,1,0.000,0.879,32,false,39.268,16.800,false
20.000,2,3.000,1.973,40,false,58.205,25.200,false
20.000,3,5.000,3.528,57,false,90.757,36.000,false
20.000,4,5.000,4.147,72,false,111.948,48.000,false
21.000,0,2.000,1.349,27,false,38.967,9.600,true
21.000,1,0.000,0.615,32,false,36.631,16.800,false
21.000,2,3.000,2.281,42,false,63.286,25.200,false
21.000,3,1.000,2.770,58,false,84.173,36.000,false
21.000,4,5.000,4.403,77,false,119.507,48.000,false
22.000,0,1.000,1.244,28,false,38.920,9.600,true
22.000,1,2.000,1.031,33,false,41.784,16.800,false
22.000,2,1.000,1.897,43,false,60.443,25.200,false
22.000,3,2.000,2.539,60,false,83.864,36.000,false
22.000,4,2.000,3.682,78,false,113.298,48.000,false
23.000,0,4.000,2.071,32,false,51.187,9.600,true
23.000,1,1.000,1.022,34,false,42.692,16.800,false
23.000,2,2.000,1.928,45,false,62.753,25.200,false
23.000,3,6.000,3.577,66,false,100.248,36.000,false
23.000,4,5.000,4.077,83,false,122.251,48.000,false
24.000,0,1.000,1.750,33,false,48.974,9.600,true
24.000,1,2.000,1.315,36,false,47.627,16.800,false
24.000,2,3.000,2.249,48,false,68.970,25.200,false
24.000,3,3.000,3.404,69,false,101.516,36.000,false
24.000,4,4.000,4.054,87,false,126.019,48.000,false
25.000,0,1.000,1.525,34,false,47.724,9.600,true
25.000,1,0.000,0.921,36,false,43.682,16.800,false
25.000,2,1.000,1.875,48,false,65.222,25.200,false
25.000,3,0.000,2.383,69,false,91.304,36.000,false
25.000,4,9.000,5.538,96,false,149.856,48.000,true
26.000,0,0.000,1.067,34,false,43.150,9.600,true
26.000,1,1.000,0.944,37,false,44.920,16.800,false
26.000,2,4.000,2.512,52,false,75.598,25.200,false
26.000,3,1.000,1.968,70,false,88.156,36.000,false
26.000,4,3.000,4.777,99,false,145.242,48.000,false
27.000,0,0.000,0.747,34,false,39.948,9.600,false
27.000,1,0.000,0.661,37,false,42.087,16.800,false
27.000,2,2.000,2.359,54,false,76.062,25.200,false
27.000,3,1.000,1.678,71,false,86.252,36.000,false
27.000,4,7.000,5.444,105,false,157.912,48.000,true
28.000,0,0.000,0.523,34,false,37.706,9.600,false
28.000,1,1.000,0.763,38,false,44.104,16.800,false
28.000,2,1.000,1.951,54,false,71.986,25.200,false
28.000,3,0.000,1.174,71,false,81.219,36.000,false
28.000,4,3.000,4.711,108,false,153.581,48.000,false
29.000,0,2.000,0.966,35,false,43.137,9.600,true
29.000,1,2.000,1.134,40,false,49.815,16.800,false
29.000,2,5.000,2.866,59,false,86.133,25.200,true
29.000,3,4.000,2.022,75,false,93.696,36.000,false
29.000,4,6.000,5.097,114,false,163.450,48.000,true
30.000,0,1.000,0.976,36,false,44.239,9.600,true
30.000,1,0.000,0.794,40,false,46.414,16.800,false
30.000,2,2.000,2.606,61,false,85.536,25.200,true
30.000,3,3.000,2.315,78,false,99.630,36.000,false
30.000,4,2.000,4.168,115,false,155.158,48.000,false
31.000,0,1.000,0.983,37,false,45.310,9.600,true
31.000,1,1.000,0.856,41,false,48.032,16.800,false
31.000,2,4.000,3.024,65,false,93.718,25.200,true
31.000,3,1.000,1.921,79,false,96.684,36.000,false
31.000,4,3.000,3.818,118,false,154.653,48.000,false
32.000,0,1.000,0.988,37,false,45.360,9.600,true
32.000,1,3.000,1.499,44,false,57.466,16.800,false
