time,node_id,observed_arrival_rate,waiting_queue_size,idle
0.000,0,0.000,0,true
0.000,1,1.000,1,true
0.000,2,1.000,1,true
0.000,3,4.000,4,true
0.000,4,2.000,2,true
1.000,0,1.000,1,true
1.000,1,1.000,1,false
1.000,2,1.000,1,false
1.000,3,0.000,1,false
1.000,4,5.000,6,false
2.000,0,0.000,0,false
2.000,1,0.000,1,false
2.000,2,1.000,2,false
2.000,3,6.000,7,false
2.000,4,4.000,10,false
3.000,0,1.000,1,false
3.000,1,0.000,0,false
3.000,2,2.000,4,false
3.000,3,5.000,12,false
3.000,4,4.000,14,false
4.000,0,1.000,1,false
4.000,1,0.000,0,false
4.000,2,1.000,5,false
4.000,3,3.000,15,false
4.000,4,5.000,19,false
5.000,0,1.000,2,false
5.000,1,4.000,4,false
5.000,2,1.000,6,false
5.000,3,5.000,20,false
5.000,4,2.000,15,false
6.000,0,1.000,3,false
6.000,1,0.000,4,false
6.000,2,1.000,7,false
6.000,3,2.000,22,false
6.000,4,3.000,18,false
7.000,0,0.000,2,false
7.000,1,0.000,4,false
7.000,2,1.000,8,false
7.000,3,4.000,26,false
7.000,4,2.000,20,false
8.000,0,0.000,2,false
8.000,1,0.000,4,false
8.000,2,3.000,11,false
8.000,3,2.000,28,false
8.000,4,3.000,23,false
9.000,0,0.000,2,false
9.000,1,2.000,6,false
9.000,2,0.000,11,false
9.000,3,4.000,32,false
9.000,4,5.000,28,false
10.000,0,0.000,2,false
10.000,1,0.000,6,false
10.000,2,1.000,12,false
10.000,3,3.000,35,false
10.000,4,3.000,31,false
11.000,0,1.000,3,false
11.000,1,0.000,5,false
11.000,2,1.000,13,false
11.000,3,1.000,36,false
11.000,4,3.000,34,false
12.000,0,1.000,4,false
12.000,1,1.000,6,false
12.000,2,0.000,13,false
12.000,3,9.000,45,false
12.000,4,3.000,37,false
13.000,0,0.000,3,false
13.000,1,1.000,7,false
13.000,2,4.000,17,false
13.000,3,3.000,42,false
13.000,4,3.000,40,false
14.000,0,1.000,4,false
14.000,1,1.000,8,false
14.000,2,3.000,20,false
14.000,3,5.000,47,false
14.000,4,5.000,45,false
15.000,0,0.000,4,false
15.000,1,0.000,8,false
15.000,2,1.000,20,false
15.000,3,0.000,47,false
15.000,4,4.000,49,false
16.000,0,0.000,4,false
16.000,1,3.000,11,false
16.000,2,1.000,21,false
16.000,3,1.000,48,false
16.000,4,0.000,49,false
17.000,0,0.000,4,false
17.000,1,3.000,14,false
17.000,2,2.000,23,false
17.000,3,4.000,52,false
17.000,4,3.000,51,false
18.000,0,0.000,3,false
18.000,1,1.000,15,false
18.000,2,2.000,25,false
18.000,3,3.000,55,false
18.000,4,2.000,53,false
19.000,0,0.000,3,false
19.000,1,1.000,16,false
19.000,2,2.000,27,false
19.000,3,7.000,62,false
19.000,4,2.000,55,false
20.000,0,0.000,3,false
20.000,1,2.000,18,false
20.000,2,0.000,27,false
20.000,3,4.000,66,false
20.000,4,7.000,62,false
21.000,0,2.000,5,false
21.000,1,1.000,19,false
21.000,2,1.000,28,false
21.000,3,2.000,68,false
21.000,4,7.000,69,false
22.000,0,1.000,6,false
22.000,1,3.000,22,false
22.000,2,1.000,28,false
22.000,3,7.000,75,false
22.000,4,4.000,73,false
23.000,0,3.000,8,false
23.000,1,2.000,24,false
23.000,2,4.000,32,false
23.000,3,3.000,78,false
23.000,4,2.000,75,false
24.000,0,0.000,8,false
24.000,1,1.000,25,false
24.000,2,4.000,36,false
24.000,3,3.000,81,false
24.000,4,7.000,82,false
25.000,0,0.000,8,false
25.000,1,1.000,26,false
25.000,2,2.000,38,false
25.000,3,5.000,86,false
25.000,4,2.000,78,false
26.000,0,0.000,8,false
26.000,1,5.000,31,false
26.000,2,3.000,41,false
26.000,3,2.000,88,false
26.000,4,5.000,83,false
27.000,0,0.000,8,false
27.000,1,2.000,27,false
27.000,2,3.000,44,false
27.000,3,3.000,90,false
27.000,4,2.000,85,false
28.000,0,0.000,8,false
28.000,1,1.000,28,false
28.000,2,2.000,46,false
28.000,3,3.000,93,false
28.000,4,4.000,89,false
29.000,0,2.000,9,false
29.000,1,1.000,29,false
29.000,2,4.000,50,false
29.000,3,3.000,96,false
29.000,4,5.000,94,false
30.000,0,1.000,10,false
30.000,1,2.000,31,false
30.000,2,3.000,47,false
30.000,3,3.000,99,false
30.000,4,1.000,95,false
31.000,0,0.000,9,false
31.000,1,3.000,34,false
31.000,2,1.000,48,false
31.000,3,2.000,101,false
31.000,4,8.000,103,false
32.000,0,0.000,9,false
32.000,1,2.000,36,false
32.000,2,1.000,49,false
32.000,3,3.000,103,false
32.000,4,1.000,104,false
33.000,0,2.000,11,false
33.000,1,1.000,37,false
33.000,2,1.000,50,false
33.000,3,6.000,109,false
33.000,4,4.000,108,false
34.000,0,0.000,11,false
34.000,1,2.000,39,false
34.000,2,1.000,51,false
34.000,3,3.000,112,false
34.000,4,4.000,106,false
35.000,0,2.000,13,false
35.000,1,1.000,40,false
35.000,2,6.000,57,false
35.000,3,1.000,113,false
35.000,4,1.000,107,false
36.000,0,2.000,15,false
36.000,1,2.000,42,false
36.000,2,2.000,59,false
36.000,3,2.000,115,false
36.000,4,4.000,111,false
37.000,0,0.000,15,false
37.000,1,3.000,45,false
37.000,2,2.000,61,false
37.000,3,1.000,116,false
37.000,4,10.000,121,false
38.000,0,1.000,16,false
38.000,1,2.000,47,false
38.000,2,3.000,64,false
38.000,3,4.000,120,false
38.000,4,2.000,123,false
39.000,0,0.000,15,false
39.000,1,2.000,48,false
39.000,2,3.000,67,false
39.000,3,3.000,123,false
39.000,4,4.000,127,false
40.000,0,0.000,15,false
40.000,1,4.000,52,false
40.000,2,1.000,68,false
40.000,3,3.000,126,false
40.000,4,6.000,133,false
41.000,0,0.000,15,false
41.000,1,1.000,53,false
41.000,2,1.000,69,false
41.000,3,5.000,131,false
41.000,4,7.000,140,false
42.000,0,2.000,17,false
42.000,1,2.000,55,false
42.000,2,2.000,71,false
42.000,3,2.000,133,false
42.000,4,1.000,141,false
43.000,0,3.000,20,false
43.000,1,2.000,57,false
43.000,2,1.000,72,false
43.000,3,2.000,135,false
43.000,4,2.000,143,false
44.000,0,1.000,21,false
44.000,1,2.000,59,false
44.000,2,1.000,73,false
44.000,3,0.000,135,false
44.000,4,2.000,145,false
45.000,0,0.000,20,false
45.000,1,2.000,61,false
45.000,2,2.000,75,false
45.000,3,2.000,137,false
45.000,4,3.000,148,false
46.000,0,1.000,21,false
46.000,1,1.000,61,false
46.000,2,2.000,77,false
46.000,3,5.000,142,false
46.000,4,4.000,152,false
47.000,0,1.000,22,false
47.000,1,2.000,63,false
47.000,2,4.000,81,false
47.000,3,3.000,145,false
47.000,4,4.000,156,false
48.000,0,1.000,23,false
48.000,1,2.000,65,false
48.000,2,3.000,83,false
48.000,3,4.000,149,false
48.000,4,5.000,155,false
49.000,0,0.000,23,false
49.000,1,1.000,66,false
49.000,2,2.000,85,false
49.000,3,4.000,153,false
49.000,4,3.000,158,false
50.000,0,2.000,25,false
50.000,1,2.000,68,false
50.000,2,3.000,88,false
50.000,3,2.000,154,false
50.000,4,1.000,159,false
51.000,0,1.000,26,false
51.000,1,0.000,68,false
51.000,2,5.000,92,false
51.000,3,2.000,156,false
51.000,4,3.000,162,false
52.000,0,0.000,25,false
52.000,1,1.000,69,false
52.000,2,3.000,95,false
52.000,3,5.000,161,false
52.000,4,4.000,166,false
53.000,0,0.000,25,false
53.000,1,3.000,72,false
53.000,2,4.000,99,false
53.000,3,3.000,164,false
53.000,4,3.000,169,false
54.000,0,1.000,26,false
54.000,1,1.000,73,false
54.000,2,5.000,104,false
54.000,3,3.000,167,false
54.000,4,4.000,173,false
55.000,0,0.000,25,false
55.000,1,2.000,75,false
55.000,2,3.000,107,false
55.000,3,3.000,169,false
55.000,4,6.000,178,false
56.000,0,0.000,25,false
56.000,1,3.000,77,false
56.000,2,3.000,109,false
56.000,3,4.000,173,false
56.000,4,4.000,182,false
57.000,0,1.000,26,false
57.000,1,1.000,78,false
57.000,2,3.000,112,false
57.000,3,2.000,175,false
57.000,4,8.000,190,false
58.000,0,0.000,26,false
58.000,1,1.000,79,false
58.000,2,1.000,113,false
58.000,3,3.000,178,false
58.000,4,6.000,196,false
59.000,0,1.000,27,false
59.000,1,2.000,81,false
59.000,2,0.000,113,false
59.000,3,2.000,179,false
59.000,4,2.000,198,false
60.000,0,2.000,29,false
60.000,1,0.000,80,false
60.000,2,2.000,115,false
60.000,3,3.000,182,false
60.000,4,3.000,201,false
61.000,0,2.000,30,false
61.000,1,1.000,81,false
61.000,2,3.000,117,false
61.000,3,2.000,184,false
61.000,4,4.000,205,false
62.000,0,1.000,31,false
62.000,1,1.000,82,false
62.000,2,1.000,118,false
62.000,3,4.000,187,false
62.000,4,4.000,208,false
63.000,0,0.000,31,false
63.000,1,1.000,83,false
63.000,2,3.000,121,false
63.000,3,1.000,188,false
63.000,4,7.000,215,false
64.000,0,0.000,30,false
64.000,1,0.000,83,false
64.000,2,2.000,122,false
64.000,3,2.000,190,false
64.000,4,2.000,217,false
65.000,0,0.000,30,false
65.000,1,1.000,84,false
65.000,2,2.000,124,false
65.000,3,4.000,194,false
65.000,4,2.000,218,false
66.000,0,1.000,31,false
