time,node_id,observed_arrival_rate,smoothed_arrival_rate,waiting_queue_size,idle,predicted_queue_size,proactive_queue_threshold,proactive_risk
0.000,0,1.000,1.000,0,false,8.476,9.600,false
0.000,1,3.000,3.000,2,false,30.476,16.800,true
0.000,2,5.000,5.000,4,false,52.476,25.200,true
0.000,3,3.000,3.000,2,false,30.476,36.000,false
0.000,4,6.000,6.000,5,false,63.476,48.000,true
1.000,0,1.000,1.000,1,false,9.476,9.600,false
1.000,1,5.000,3.600,7,false,41.476,16.800,true
1.000,2,3.000,4.400,7,false,49.476,25.200,true
1.000,3,2.000,2.700,4,false,29.476,36.000,false
1.000,4,2.000,4.800,7,false,53.476,48.000,true
2.000,0,0.000,0.700,1,false,6.476,9.600,false
2.000,1,0.000,2.520,7,false,30.676,16.800,false
2.000,2,0.000,3.080,7,false,36.276,25.200,true
2.000,3,5.000,3.390,9,false,41.376,36.000,true
2.000,4,1.000,3.660,8,false,43.076,48.000,true
3.000,0,2.000,1.090,3,false,12.376,9.600,false
3.000,1,1.000,2.064,8,false,27.116,16.800,false
3.000,2,0.000,2.156,7,false,27.036,25.200,false
3.000,3,4.000,3.573,13,false,47.206,36.000,true
3.000,4,0.000,2.562,8,false,32.096,48.000,false
4.000,0,1.000,1.063,4,false,13.106,9.600,false
4.000,1,2.000,2.045,10,false,28.924,16.800,false
4.000,2,2.000,2.109,9,false,28.568,25.200,false
4.000,3,6.000,4.301,19,false,60.487,36.000,true
4.000,4,1.000,2.093,9,false,28.410,48.000,false
5.000,0,2.000,1.344,6,false,17.917,9.600,false
5.000,1,1.000,1.731,11,false,26.790,16.800,false
5.000,2,3.000,2.376,12,false,34.241,25.200,false
5.000,3,1.000,3.311,19,false,50.584,36.000,true
5.000,4,1.000,1.765,10,false,26.130,48.000,false
6.000,0,1.000,1.241,7,false,17.885,9.600,false
6.000,1,0.000,1.212,10,false,20.596,16.800,false
6.000,2,2.000,2.264,13,false,34.111,25.200,false
6.000,3,5.000,3.818,24,false,60.652,36.000,true
6.000,4,3.000,2.136,13,false,32.834,48.000,false
7.000,0,0.000,0.869,6,false,13.162,9.600,false
7.000,1,1.000,1.148,11,false,20.960,16.800,false
7.000,2,2.000,2.184,15,false,35.321,25.200,false
7.000,3,4.000,3.872,28,false,65.199,36.000,true
7.000,4,7.000,3.595,20,false,54.427,48.000,true
8.000,0,1.000,0.908,7,false,14.556,9.600,false
8.000,1,1.000,1.104,12,false,21.515,16.800,false
8.000,2,1.000,1.829,16,false,32.767,25.200,false
8.000,3,2.000,3.311,30,false,61.582,36.000,true
8.000,4,2.000,3.117,16,false,45.641,48.000,true
9.000,0,2.000,1.236,9,false,19.832,9.600,false
9.000,1,1.000,1.073,13,false,22.203,16.800,false
9.000,2,0.000,1.280,16,false,27.280,25.200,false
9.000,3,3.000,3.217,32,false,62.650,36.000,true
9.000,4,5.000,3.682,21,false,56.292,48.000,true
10.000,0,1.000,1.165,10,false,20.126,9.600,false
10.000,1,1.000,1.051,14,false,22.985,16.800,false
10.000,2,5.000,2.396,21,false,43.439,25.200,false
10.000,3,5.000,3.752,37,false,72.998,36.000,true
10.000,4,3.000,3.477,24,false,57.247,48.000,true
11.000,0,0.000,0.815,9,false,15.631,9.600,false
11.000,1,2.000,1.336,15,false,26.832,16.800,false
11.000,2,4.000,2.877,25,false,52.250,25.200,false
11.000,3,2.000,3.227,39,false,69.742,36.000,true
11.000,4,4.000,3.634,28,false,62.816,48.000,true
12.000,0,0.000,0.571,9,false,13.184,9.600,false
12.000,1,1.000,1.235,16,false,26.826,16.800,false
12.000,2,3.000,2.914,28,false,55.618,25.200,false
12.000,3,3.000,3.159,42,false,72.062,36.000,true
12.000,4,4.000,3.744,32,false,67.914,48.000,true
13.000,0,0.000,0.400,9,false,11.472,9.600,false
13.000,1,0.000,0.864,16,false,23.121,16.800,false
13.000,2,4.000,3.240,31,false,61.875,25.200,true
13.000,3,2.000,2.811,44,false,70.586,36.000,false
13.000,4,3.000,3.521,34,false,67.683,48.000,true
14.000,0,1.000,0.580,10,false,14.273,9.600,false
14.000,1,3.000,1.505,19,false,32.527,16.800,false
14.000,2,4.000,3.468,35,false,68.156,25.200,true
14.000,3,3.000,2.868,47,false,74.153,36.000,false
14.000,4,6.000,4.264,40,false,81.121,48.000,true
15.000,0,1.000,0.706,10,false,15.534,9.600,false
15.000,1,0.000,1.054,19,false,28.012,16.800,false
15.000,2,2.000,3.028,37,false,65.752,25.200,true
15.000,3,3.000,2.907,49,false,76.550,36.000,false
15.000,4,10.000,5.985,50,false,108.327,48.000,true
16.000,0,2.000,1.094,12,false,21.417,9.600,false
16.000,1,5.000,2.238,24,false,44.851,16.800,false
16.000,2,1.000,2.419,38,false,60.669,25.200,false
16.000,3,3.000,2.935,52,false,79.828,36.000,false
16.000,4,3.000,5.090,52,false,101.372,48.000,true
17.000,0,3.000,1.666,14,false,29.135,9.600,false
17.000,1,1.000,1.866,25,false,42.139,16.800,false
17.000,2,0.000,1.694,37,false,52.411,25.200,false
17.000,3,0.000,2.055,46,false,65.022,36.000,false
17.000,4,6.000,5.363,58,false,110.103,48.000,true
18.000,0,1.000,1.466,15,false,28.137,9.600,false
18.000,1,2.000,1.906,27,false,44.540,16.800,false
18.000,2,2.000,1.785,39,false,55.331,25.200,false
18.000,3,5.000,2.938,51,false,78.859,36.000,false
