time,node_id,observed_arrival_rate,smoothed_arrival_rate,waiting_queue_size,idle,predicted_queue_size,proactive_queue_threshold,proactive_risk
0.000,0,1.000,1.000,0,false,8.476,9.600,false
0.000,1,1.000,1.000,0,false,8.476,16.800,false
0.000,2,2.000,2.000,1,false,19.476,25.200,false
0.000,3,3.000,3.000,2,false,30.476,36.000,false
0.000,4,3.000,3.000,2,false,30.476,48.000,false
1.000,0,0.000,0.700,0,false,5.476,9.600,false
1.000,1,3.000,1.600,3,false,17.476,16.800,false
1.000,2,4.000,2.600,5,false,29.476,25.200,false
1.000,3,4.000,3.300,6,false,37.476,36.000,true
1.000,4,3.000,3.000,5,false,33.476,48.000,false
2.000,0,1.000,0.790,1,false,7.376,9.600,false
2.000,1,1.000,1.420,4,false,16.676,16.800,false
2.000,2,3.000,2.720,8,false,33.676,25.200,false
2.000,3,4.000,3.510,10,false,43.576,36.000,true
2.000,4,2.000,2.700,7,false,32.476,48.000,false
3.000,0,0.000,0.553,1,false,5.006,9.600,false
3.000,1,3.000,1.894,7,false,24.416,16.800,false
3.000,2,4.000,3.104,12,false,41.516,25.200,true
3.000,3,6.000,4.257,16,false,57.046,36.000,true
3.000,4,4.000,3.090,11,false,40.376,48.000,true
4.000,0,0.000,0.387,0,false,2.347,9.600,false
4.000,1,1.000,1.626,8,false,22.734,16.800,false
4.000,2,4.000,3.373,16,false,48.204,25.200,true
4.000,3,4.000,4.180,19,false,59.275,36.000,true
4.000,4,5.000,3.663,16,false,51.106,48.000,true
5.000,0,1.000,0.571,1,false,5.186,9.600,false
5.000,1,2.000,1.738,10,false,25.857,16.800,false
5.000,2,0.000,2.361,15,false,37.086,25.200,false
5.000,3,3.000,3.826,22,false,58.735,36.000,true
5.000,4,0.000,2.564,16,false,40.117,48.000,false
6.000,0,0.000,0.400,1,false,3.473,9.600,false
6.000,1,1.000,1.517,11,false,24.643,16.800,false
6.000,2,5.000,3.153,20,false,50.003,25.200,true
6.000,3,1.000,2.978,23,false,51.258,36.000,false
6.000,4,0.000,1.795,16,false,32.425,48.000,false
7.000,0,0.000,0.280,1,false,2.274,9.600,false
7.000,1,1.000,1.362,12,false,24.093,16.800,false
7.000,2,2.000,2.807,22,false,48.545,25.200,false
7.000,3,3.000,2.985,26,false,54.323,36.000,false
7.000,4,8.000,3.656,24,false,59.040,48.000,true
8.000,0,2.000,0.796,3,false,9.435,9.600,false
8.000,1,0.000,0.953,12,false,20.008,16.800,false
8.000,2,3.000,2.865,25,false,52.124,25.200,false
8.000,3,1.000,2.389,26,false,48.369,36.000,false
8.000,4,4.000,3.759,27,false,63.071,48.000,true
9.000,0,1.000,0.857,3,false,10.047,9.600,false
9.000,1,2.000,1.267,14,false,25.148,16.800,false
9.000,2,2.000,2.605,27,false,51.530,25.200,false
9.000,3,6.000,3.473,32,false,65.201,36.000,true
9.000,4,4.000,3.832,31,false,67.793,48.000,true
10.000,0,1.000,0.900,4,false,11.476,9.600,false
10.000,1,1.000,1.187,15,false,25.347,16.800,false
10.000,2,3.000,2.724,29,false,54.714,25.200,false
10.000,3,2.000,3.031,34,false,62.784,36.000,true
10.000,4,7.000,4.782,38,false,84.298,48.000,true
11.000,0,0.000,0.630,4,false,8.776,9.600,false
11.000,1,0.000,0.831,15,false,21.786,16.800,false
11.000,2,3.000,2.807,32,false,58.542,25.200,false
11.000,3,5.000,3.622,39,false,73.691,36.000,true
11.000,4,7.000,5.448,45,false,97.951,48.000,true
12.000,0,3.000,1.341,7,false,18.886,9.600,false
12.000,1,2.000,1.182,16,false,26.293,16.800,false
12.000,2,1.000,2.265,33,false,54.123,25.200,false
12.000,3,2.000,3.135,41,false,70.827,36.000,true
12.000,4,6.000,5.613,51,false,105.609,48.000,true
13.000,0,0.000,0.939,7,false,14.863,9.600,false
13.000,1,1.000,1.127,17,false,26.748,16.800,false
13.000,2,1.000,1.885,34,false,51.329,25.200,false
13.000,3,2.000,2.795,43,false,69.422,36.000,false
13.000,4,5.000,5.429,56,false,108.769,48.000,true
14.000,0,1.000,0.957,8,false,16.047,9.600,false
14.000,1,3.000,1.689,20,false,35.366,16.800,false
14.000,2,1.000,1.620,35,false,49.673,25.200,false
14.000,3,3.000,2.856,45,false,72.038,36.000,false
14.000,4,10.000,6.800,66,false,132.481,48.000,true
15.000,0,2.000,1.270,10,false,21.176,9.600,false
15.000,1,0.000,1.182,20,false,30.299,16.800,false
15.000,2,2.000,1.734,37,false,52.814,25.200,false
15.000,3,3.000,2.899,48,false,75.469,36.000,false
