time,node_id,observed_arrival_rate,waiting_queue_size,idle
0.000,0,1.000,1,true
0.000,1,2.000,2,true
0.000,2,1.000,1,true
0.000,3,2.000,2,true
0.000,4,5.000,5,true
1.000,0,0.000,0,false
1.000,1,2.000,3,false
1.000,2,0.000,0,false
1.000,3,1.000,2,false
1.000,4,4.000,8,false
2.000,0,1.000,1,false
2.000,1,0.000,3,false
2.000,2,0.000,0,false
2.000,3,0.000,2,false
2.000,4,3.000,11,false
3.000,0,2.000,3,false
3.000,1,2.000,5,false
3.000,2,1.000,1,false
3.000,3,1.000,3,false
3.000,4,6.000,17,false
4.000,0,1.000,4,false
4.000,1,1.000,6,false
4.000,2,3.000,4,false
4.000,3,3.000,6,false
4.000,4,2.000,19,false
5.000,0,1.000,5,false
5.000,1,0.000,5,false
5.000,2,2.000,6,false
5.000,3,4.000,10,false
5.000,4,5.000,24,false
6.000,0,1.000,5,false
6.000,1,1.000,6,false
6.000,2,3.000,8,false
6.000,3,4.000,14,false
6.000,4,6.000,30,false
7.000,0,3.000,8,false
7.000,1,2.000,8,false
7.000,2,2.000,10,false
7.000,3,2.000,16,false
7.000,4,1.000,30,false
8.000,0,1.000,8,false
8.000,1,3.000,11,false
8.000,2,1.000,11,false
8.000,3,2.000,18,false
8.000,4,2.000,32,false
9.000,0,2.000,10,false
9.000,1,3.000,14,false
9.000,2,1.000,12,false
9.000,3,1.000,19,false
9.000,4,8.000,40,false
10.000,0,2.000,12,false
10.000,1,2.000,16,false
10.000,2,2.000,14,false
10.000,3,4.000,23,false
10.000,4,4.000,44,false
11.000,0,1.000,12,false
11.000,1,1.000,17,false
11.000,2,0.000,14,false
11.000,3,2.000,25,false
11.000,4,1.000,45,false
12.000,0,0.000,12,false
12.000,1,0.000,16,false
12.000,2,3.000,17,false
12.000,3,2.000,27,false
12.000,4,2.000,46,false
13.000,0,1.000,13,false
13.000,1,1.000,17,false
13.000,2,2.000,18,false
13.000,3,7.000,34,false
13.000,4,5.000,51,false
14.000,0,0.000,13,false
14.000,1,1.000,18,false
14.000,2,0.000,18,false
14.000,3,2.000,36,false
14.000,4,3.000,54,false
15.000,0,1.000,14,false
15.000,1,3.000,21,false
15.000,2,2.000,20,false
15.000,3,5.000,41,false
15.000,4,5.000,59,false
16.000,0,0.000,14,false
16.000,1,2.000,23,false
16.000,2,1.000,21,false
16.000,3,2.000,42,false
16.000,4,3.000,61,false
17.000,0,0.000,13,false
17.000,1,2.000,25,false
17.000,2,2.000,23,false
17.000,3,2.000,44,false
17.000,4,5.000,66,false
18.000,0,2.000,15,false
18.000,1,0.000,25,false
18.000,2,1.000,24,false
18.000,3,4.000,48,false
18.000,4,5.000,71,false
19.000,0,1.000,16,false
19.000,1,1.000,25,false
19.000,2,3.000,27,false
19.000,3,1.000,49,false
19.000,4,1.000,72,false
20.000,0,0.000,16,false
20.000,1,1.000,26,false
