time,node_id,observed_arrival_rate,smoothed_arrival_rate,waiting_queue_size,idle,predicted_queue_size,proactive_queue_threshold,proactive_risk
0.000,0,3.000,3.000,1,false,30.476,9.600,true
0.000,1,1.000,1.000,1,false,9.476,16.800,false
0.000,2,4.000,4.000,2,false,41.476,25.200,true
0.000,3,2.000,2.000,2,false,20.476,36.000,false
0.000,4,4.000,4.000,3,false,41.476,48.000,false
1.000,0,0.000,2.100,1,false,20.476,9.600,true
1.000,1,2.000,1.300,3,false,14.476,16.800,false
1.000,2,2.000,3.400,4,false,36.476,25.200,true
1.000,3,5.000,2.900,7,false,34.476,36.000,false
1.000,4,4.000,4.000,7,false,45.476,48.000,false
2.000,0,0.000,1.470,1,false,14.176,9.600,true
2.000,1,1.000,1.210,4,false,14.576,16.800,false
2.000,2,1.000,2.680,5,false,30.276,25.200,true
2.000,3,3.000,2.930,10,false,37.776,36.000,false
2.000,4,5.000,4.300,12,false,53.476,48.000,false
3.000,0,0.000,1.029,1,false,9.766,9.600,true
3.000,1,2.000,1.447,6,false,18.946,16.800,false
3.000,2,3.000,2.776,7,false,33.236,25.200,true
3.000,3,4.000,3.251,14,false,44.986,36.000,false
3.000,4,4.000,4.210,16,false,56.576,48.000,false
4.000,0,0.000,0.720,0,false,5.679,9.600,false
4.000,1,3.000,1.913,5,false,26.605,16.800,true
4.000,2,2.000,2.543,9,false,32.908,25.200,true
4.000,3,2.000,2.876,16,false,43.233,36.000,false
4.000,4,3.000,3.847,19,false,55.946,48.000,false
5.000,0,0.000,0.504,4,false,7.518,9.600,false
5.000,1,3.000,2.239,8,false,28.866,16.800,true
5.000,2,1.000,2.080,10,false,29.279,25.200,false
5.000,3,2.000,2.613,18,false,42.606,36.000,false
5.000,4,1.000,2.993,20,false,48.405,48.000,false
6.000,0,0.000,0.353,4,false,6.006,9.600,false
6.000,1,1.000,1.867,9,false,26.149,16.800,true
6.000,2,1.000,1.756,11,false,27.038,25.200,false
6.000,3,2.000,2.429,20,false,42.767,36.000,false
6.000,4,3.000,2.995,23,false,51.426,48.000,false
7.000,0,3.000,1.147,7,false,16.947,9.600,true
7.000,1,1.000,1.607,10,false,24.547,16.800,false
7.000,2,3.000,2.129,14,false,33.769,25.200,false
7.000,3,0.000,1.700,20,false,35.480,36.000,false
7.000,4,6.000,3.897,28,false,65.441,48.000,false
8.000,0,0.000,0.803,7,false,13.506,9.600,false
8.000,1,1.000,1.425,11,false,23.726,16.800,false
8.000,2,4.000,2.691,18,false,43.381,25.200,true
8.000,3,2.000,1.790,21,false,37.379,36.000,false
8.000,4,4.000,3.928,32,false,69.752,48.000,false
9.000,0,1.000,0.862,7,false,14.097,9.600,false
9.000,1,0.000,0.997,11,false,19.451,16.800,false
9.000,2,1.000,2.183,18,false,38.310,25.200,false
9.000,3,4.000,2.453,25,false,48.008,36.000,false
9.000,4,4.000,3.949,36,false,73.969,48.000,false
10.000,0,1.000,0.903,8,false,15.511,9.600,false
10.000,1,3.000,1.598,14,false,28.459,16.800,false
10.000,2,4.000,2.728,22,false,47.760,25.200,true
