time,node_id,observed_arrival_rate,waiting_queue_size,idle
0.000,0,0.000,0,true
0.000,1,1.000,1,true
0.000,2,3.000,3,true
0.000,3,3.000,3,true
0.000,4,4.000,4,true
1.000,0,2.000,2,true
1.000,1,3.000,3,false
1.000,2,5.000,6,false
1.000,3,4.000,6,false
1.000,4,2.000,5,false
2.000,0,0.000,1,false
2.000,1,1.000,4,false
2.000,2,1.000,7,false
2.000,3,2.000,8,false
2.000,4,6.000,11,false
3.000,0,2.000,3,false
3.000,1,2.000,6,false
3.000,2,3.000,10,false
3.000,3,5.000,13,false
3.000,4,7.000,18,false
4.000,0,1.000,4,false
4.000,1,2.000,8,false
4.000,2,1.000,11,false
4.000,3,2.000,15,false
4.000,4,4.000,22,false
5.000,0,2.000,6,false
5.000,1,1.000,9,false
5.000,2,1.000,12,false
5.000,3,4.000,19,false
5.000,4,5.000,26,false
6.000,0,1.000,6,false
6.000,1,2.000,10,false
6.000,2,4.000,16,false
6.000,3,2.000,21,false
6.000,4,4.000,30,false
7.000,0,0.000,6,false
7.000,1,2.000,12,false
7.000,2,2.000,18,false
7.000,3,7.000,28,false
7.000,4,6.000,36,false
8.000,0,1.000,7,false
8.000,1,2.000,14,false
8.000,2,0.000,18,false
8.000,3,3.000,30,false
8.000,4,4.000,40,false
9.000,0,0.000,7,false
9.000,1,1.000,14,false
9.000,2,1.000,19,false
9.000,3,2.000,32,false
9.000,4,0.000,39,false
10.000,0,1.000,8,false
10.000,1,1.000,15,false
10.000,2,1.000,20,false
10.000,3,1.000,33,false
10.000,4,2.000,41,false
11.000,0,0.000,8,false
11.000,1,1.000,16,false
11.000,2,4.000,24,false
11.000,3,3.000,36,false
11.000,4,6.000,47,false
12.000,0,1.000,8,false
12.000,1,1.000,17,false
12.000,2,2.000,25,false
12.000,3,4.000,40,false
12.000,4,4.000,51,false
13.000,0,2.000,10,false
13.000,1,3.000,20,false
13.000,2,2.000,27,false
13.000,3,1.000,41,false
13.000,4,3.000,54,false
14.000,0,0.000,10,false
14.000,1,3.000,23,false
14.000,2,0.000,27,false
14.000,3,5.000,46,false
14.000,4,3.000,57,false
15.000,0,0.000,10,false
15.000,1,1.000,24,false
15.000,2,1.000,28,false
15.000,3,7.000,53,false
15.000,4,1.000,58,false
16.000,0,3.000,13,false
16.000,1,1.000,24,false
16.000,2,1.000,29,false
16.000,3,2.000,54,false
16.000,4,4.000,61,false
17.000,0,0.000,13,false
17.000,1,2.000,26,false
17.000,2,1.000,30,false
17.000,3,5.000,59,false
17.000,4,1.000,62,false
18.000,0,0.000,12,false
18.000,1,0.000,26,false
18.000,2,3.000,32,false
18.000,3,3.000,62,false
18.000,4,3.000,65,false
19.000,0,0.000,12,false
19.000,1,1.000,26,false
19.000,2,2.000,34,false
19.000,3,4.000,66,false
19.000,4,2.000,67,false
20.000,0,1.000,13,false
20.000,1,2.000,28,false
20.000,2,1.000,35,false
20.000,3,2.000,68,false
20.000,4,5.000,72,false
21.000,0,0.000,13,false
21.000,1,2.000,30,false
21.000,2,2.000,37,false
21.000,3,4.000,71,false
21.000,4,2.000,74,false
22.000,0,2.000,15,false
22.000,1,2.000,32,false
22.000,2,6.000,43,false
22.000,3,5.000,76,false
22.000,4,2.000,76,false
23.000,0,2.000,17,false
23.000,1,4.000,36,false
23.000,2,0.000,42,false
23.000,3,5.000,81,false
23.000,4,4.000,79,false
24.000,0,2.000,19,false
24.000,1,0.000,35,false
24.000,2,3.000,45,false
24.000,3,3.000,84,false
24.000,4,4.000,83,false
25.000,0,1.000,20,false
25.000,1,0.000,35,false
25.000,2,2.000,47,false
25.000,3,2.000,86,false
25.000,4,4.000,87,false
26.000,0,1.000,21,false
26.000,1,2.000,37,false
26.000,2,3.000,50,false
26.000,3,3.000,89,false
26.000,4,5.000,92,false
27.000,0,2.000,22,false
27.000,1,3.000,39,false
27.000,2,3.000,53,false
27.000,3,4.000,87,false
27.000,4,6.000,98,false
28.000,0,2.000,24,false
28.000,1,0.000,39,false
28.000,2,1.000,53,false
28.000,3,2.000,89,false
28.000,4,1.000,99,false
29.000,0,1.000,25,false
29.000,1,0.000,39,false
29.000,2,1.000,54,false
29.000,3,4.000,93,false
29.000,4,4.000,103,false
30.000,0,0.000,25,false
30.000,1,0.000,39,false
30.000,2,5.000,59,false
30.000,3,3.000,96,false
30.000,4,2.000,104,false
31.000,0,0.000,24,false
31.000,1,1.000,39,false
31.000,2,4.000,62,false
31.000,3,0.000,96,false
31.000,4,3.000,107,false
32.000,0,0.000,24,false
32.000,1,0.000,39,false
32.000,2,1.000,63,false
32.000,3,8.000,104,false
32.000,4,5.000,112,false
33.000,0,0.000,24,false
33.000,1,3.000,42,false
33.000,2,1.000,64,false
33.000,3,2.000,106,false
33.000,4,3.000,115,false
34.000,0,0.000,24,false
34.000,1,4.000,46,false
34.000,2,1.000,65,false
34.000,3,3.000,109,false
34.000,4,4.000,119,false
35.000,0,0.000,23,false
35.000,1,3.000,49,false
35.000,2,5.000,69,false
35.000,3,4.000,113,false
35.000,4,4.000,123,false
36.000,0,1.000,24,false
36.000,1,0.000,48,false
36.000,2,3.000,72,false
36.000,3,3.000,116,false
36.000,4,3.000,126,false
37.000,0,0.000,23,false
37.000,1,1.000,49,false
37.000,2,1.000,73,false
37.000,3,0.000,116,false
37.000,4,3.000,128,false
38.000,0,0.000,23,false
38.000,1,1.000,49,false
38.000,2,2.000,75,false
38.000,3,2.000,118,false
38.000,4,2.000,130,false
39.000,0,0.000,23,false
39.000,1,2.000,51,false
39.000,2,1.000,76,false
39.000,3,4.000,122,false
39.000,4,4.000,134,false
40.000,0,0.000,23,false
40.000,1,0.000,50,false
40.000,2,1.000,77,false
40.000,3,6.000,128,false
40.000,4,3.000,137,false
41.000,0,0.000,23,false
41.000,1,3.000,53,false
41.000,2,1.000,77,false
41.000,3,4.000,132,false
41.000,4,3.000,140,false
42.000,0,3.000,26,false
42.000,1,2.000,55,false
42.000,2,3.000,80,false
42.000,3,0.000,132,false
42.000,4,4.000,144,false
43.000,0,1.000,26,false
43.000,1,0.000,55,false
43.000,2,3.000,83,false
43.000,3,4.000,136,false
43.000,4,2.000,145,false
44.000,0,2.000,28,false
44.000,1,1.000,55,false
44.000,2,2.000,85,false
44.000,3,6.000,142,false
44.000,4,4.000,149,false
45.000,0,1.000,29,false
45.000,1,1.000,56,false
45.000,2,1.000,86,false
45.000,3,9.000,151,false
45.000,4,4.000,153,false
46.000,0,2.000,31,false
46.000,1,2.000,58,false
46.000,2,4.000,90,false
46.000,3,1.000,152,false
46.000,4,1.000,154,false
47.000,0,0.000,30,false
47.000,1,2.000,60,false
47.000,2,3.000,93,false
47.000,3,2.000,154,false
47.000,4,3.000,156,false
48.000,0,0.000,30,false
48.000,1,0.000,60,false
48.000,2,4.000,96,false
48.000,3,2.000,156,false
48.000,4,8.000,164,false
49.000,0,2.000,32,false
49.000,1,3.000,63,false
49.000,2,0.000,96,false
49.000,3,4.000,160,false
49.000,4,6.000,170,false
50.000,0,0.000,32,false
50.000,1,5.000,67,false
50.000,2,4.000,100,false
50.000,3,1.000,161,false
50.000,4,6.000,176,false
51.000,0,0.000,32,false
51.000,1,3.000,70,false
51.000,2,2.000,102,false
51.000,3,4.000,164,false
51.000,4,3.000,179,false
52.000,0,1.000,33,false
52.000,1,5.000,75,false
52.000,2,6.000,108,false
52.000,3,2.000,166,false
52.000,4,8.000,186,false
53.000,0,2.000,35,false
53.000,1,3.000,78,false
53.000,2,2.000,109,false
53.000,3,2.000,168,false
53.000,4,3.000,189,false
54.000,0,0.000,34,false
54.000,1,1.000,79,false
54.000,2,7.000,116,false
54.000,3,5.000,173,false
54.000,4,3.000,192,false
55.000,0,1.000,35,false
55.000,1,1.000,79,false
55.000,2,1.000,117,false
55.000,3,5.000,178,false
55.000,4,3.000,195,false
56.000,0,1.000,36,false
56.000,1,2.000,81,false
56.000,2,1.000,118,false
56.000,3,2.000,180,false
56.000,4,5.000,200,false
57.000,0,1.000,37,false
57.000,1,0.000,81,false
57.000,2,2.000,120,false
57.000,3,2.000,182,false
57.000,4,5.000,205,false
58.000,0,2.000,39,false
58.000,1,1.000,82,false
58.000,2,5.000,125,false
58.000,3,2.000,183,false
58.000,4,3.000,208,false
59.000,0,1.000,40,false
59.000,1,0.000,82,false
59.000,2,2.000,127,false
59.000,3,4.000,187,false
59.000,4,3.000,205,false
60.000,0,1.000,40,false
60.000,1,1.000,83,false
60.000,2,1.000,127,false
60.000,3,5.000,192,false
60.000,4,4.000,209,false
61.000,0,1.000,41,false
61.000,1,2.000,85,false
61.000,2,2.000,129,false
61.000,3,3.000,195,false
61.000,4,7.000,216,false
62.000,0,1.000,42,false
62.000,1,0.000,85,false
62.000,2,0.000,129,false
62.000,3,5.000,200,false
62.000,4,4.000,220,false
63.000,0,1.000,43,false
63.000,1,2.000,86,false
63.000,2,4.000,133,false
63.000,3,2.000,202,false
63.000,4,3.000,223,false
64.000,0,2.000,45,false
64.000,1,3.000,89,false
64.000,2,1.000,134,false
64.000,3,0.000,202,false
64.000,4,2.000,225,false
65.000,0,1.000,46,false
65.000,1,0.000,89,false
65.000,2,3.000,136,false
65.000,3,3.000,204,false
65.000,4,1.000,226,false
66.000,0,1.000,47,false
