time,node_id,observed_arrival_rate,smoothed_arrival_rate,waiting_queue_size,idle,predicted_queue_size,proactive_queue_threshold,proactive_risk
0.000,0,2.000,2.000,1,false,19.476,9.600,false
0.000,1,1.000,1.000,0,false,8.476,16.800,false
0.000,2,3.000,3.000,2,false,30.476,25.200,true
0.000,3,4.000,4.000,3,false,41.476,36.000,true
0.000,4,6.000,6.000,5,false,63.476,48.000,true
1.000,0,2.000,2.000,3,false,21.476,9.600,false
1.000,1,4.000,1.900,4,false,21.476,16.800,false
1.000,2,1.000,2.400,3,false,25.476,25.200,false
1.000,3,7.000,4.900,10,false,57.476,36.000,true
1.000,4,1.000,4.500,6,false,49.476,48.000,true
2.000,0,2.000,2.000,5,false,23.476,9.600,false
2.000,1,2.000,1.930,6,false,23.776,16.800,false
2.000,2,1.000,1.980,4,false,22.276,25.200,false
2.000,3,1.000,3.730,11,false,46.776,36.000,true
2.000,4,5.000,4.650,11,false,55.976,48.000,true
3.000,0,0.000,1.400,5,false,17.476,9.600,false
3.000,1,3.000,2.251,9,false,29.986,16.800,false
3.000,2,0.000,1.386,4,false,16.336,25.200,false
3.000,3,6.000,4.411,17,false,59.586,36.000,true
3.000,4,2.000,3.855,13,false,50.026,48.000,true
4.000,0,0.000,0.980,5,false,13.276,9.600,false
4.000,1,1.000,1.876,10,false,27.233,16.800,false
4.000,2,6.000,2.770,10,false,36.178,25.200,false
4.000,3,2.000,3.688,19,false,54.353,36.000,true
4.000,4,5.000,4.198,18,false,58.461,48.000,true
5.000,0,1.000,0.986,5,false,13.336,9.600,false
5.000,1,1.000,1.613,11,false,25.606,16.800,false
5.000,2,1.000,2.239,11,false,31.868,25.200,false
5.000,3,2.000,3.181,21,false,51.290,36.000,true
5.000,4,3.000,3.839,21,false,57.866,48.000,true
6.000,0,2.000,1.290,7,false,18.378,9.600,false
6.000,1,1.000,1.429,12,false,24.767,16.800,false
6.000,2,4.000,2.767,15,false,41.150,25.200,false
6.000,3,4.000,3.427,25,false,57.746,36.000,true
6.000,4,5.000,4.187,25,false,65.349,48.000,true
7.000,0,2.000,1.503,9,false,22.508,9.600,false
7.000,1,3.000,1.900,14,false,31.480,16.800,false
7.000,2,1.000,2.237,16,false,36.848,25.200,false
7.000,3,3.000,3.299,28,false,59.465,36.000,true
7.000,4,7.000,5.031,32,false,80.787,48.000,true
8.000,0,2.000,1.652,11,false,25.998,9.600,false
8.000,1,0.000,1.330,14,false,25.779,16.800,false
8.000,2,1.000,1.866,16,false,33.136,25.200,false
8.000,3,0.000,2.309,28,false,49.568,36.000,false
8.000,4,2.000,4.122,33,false,72.694,48.000,true
9.000,0,1.000,1.457,11,false,24.042,9.600,false
9.000,1,1.000,1.231,15,false,25.788,16.800,false
9.000,2,2.000,1.906,18,false,35.538,25.200,false
9.000,3,2.000,2.216,29,false,49.641,36.000,false
9.000,4,4.000,4.085,37,false,76.329,48.000,true
10.000,0,1.000,1.320,12,false,23.672,9.600,false
10.000,1,3.000,1.762,18,false,34.094,16.800,false
10.000,2,3.000,2.234,21,false,41.820,25.200,false
10.000,3,4.000,2.752,33,false,58.991,36.000,false
10.000,4,4.000,4.060,41,false,80.073,48.000,true
11.000,0,1.000,1.224,13,false,23.713,9.600,false
11.000,1,1.000,1.533,19,false,32.809,16.800,false
11.000,2,0.000,1.564,21,false,35.117,25.200,false
11.000,3,1.000,2.226,34,false,54.737,36.000,false
11.000,4,2.000,3.442,43,false,75.894,48.000,true
12.000,0,0.000,0.857,13,false,20.042,9.600,false
12.000,1,2.000,1.673,21,false,36.209,16.800,false
12.000,2,1.000,1.395,22,false,34.425,25.200,false
12.000,3,4.000,2.758,38,false,64.059,36.000,false
12.000,4,5.000,3.909,47,false,84.569,48.000,true
13.000,0,0.000,0.600,12,false,16.472,9.600,false
13.000,1,1.000,1.471,22,false,35.189,16.800,false
13.000,2,3.000,1.876,25,false,42.240,25.200,false
13.000,3,5.000,3.431,43,false,75.784,36.000,true
