time,node_id,observed_arrival_rate,waiting_queue_size,idle
0.000,0,0.000,0,true
0.000,1,1.000,1,true
0.000,2,4.000,4,true
0.000,3,2.000,2,true
0.000,4,4.000,4,true
1.000,0,0.000,0,true
1.000,1,2.000,2,false
1.000,2,2.000,5,false
1.000,3,4.000,5,false
1.000,4,4.000,7,false
2.000,0,0.000,0,true
2.000,1,2.000,4,false
2.000,2,1.000,6,false
2.000,3,5.000,10,false
2.000,4,3.000,10,false
3.000,0,2.000,2,true
3.000,1,4.000,8,false
3.000,2,3.000,9,false
3.000,3,1.000,11,false
3.000,4,7.000,17,false
4.000,0,1.000,2,false
4.000,1,1.000,9,false
4.000,2,2.000,10,false
4.000,3,2.000,13,false
4.000,4,4.000,21,false
5.000,0,2.000,4,false
5.000,1,2.000,11,false
5.000,2,1.000,11,false
5.000,3,4.000,17,false
5.000,4,1.000,22,false
6.000,0,2.000,5,false
6.000,1,2.000,13,false
6.000,2,0.000,11,false
6.000,3,1.000,18,false
6.000,4,2.000,24,false
7.000,0,0.000,5,false
7.000,1,3.000,15,false
7.000,2,0.000,10,false
7.000,3,0.000,17,false
7.000,4,3.000,27,false
8.000,0,0.000,5,false
8.000,1,0.000,15,false
8.000,2,2.000,12,false
8.000,3,3.000,20,false
8.000,4,2.000,29,false
9.000,0,0.000,5,false
9.000,1,0.000,15,false
9.000,2,1.000,13,false
9.000,3,2.000,22,false
9.000,4,3.000,32,false
10.000,0,1.000,6,false
10.000,1,2.000,17,false
10.000,2,1.000,14,false
10.000,3,4.000,26,false
10.000,4,5.000,36,false
11.000,0,1.000,6,false
11.000,1,0.000,17,false
11.000,2,3.000,17,false
11.000,3,5.000,30,false
11.000,4,3.000,39,false
12.000,0,0.000,6,false
12.000,1,1.000,18,false
12.000,2,3.000,20,false
12.000,3,7.000,37,false
12.000,4,2.000,41,false
13.000,0,0.000,6,false
13.000,1,1.000,19,false
13.000,2,0.000,20,false
13.000,3,2.000,39,false
13.000,4,3.000,44,false
14.000,0,1.000,7,false
14.000,1,2.000,21,false
14.000,2,1.000,20,false
14.000,3,3.000,41,false
14.000,4,6.000,50,false
15.000,0,1.000,8,false
15.000,1,2.000,23,false
15.000,2,3.000,23,false
15.000,3,3.000,44,false
15.000,4,4.000,54,false
16.000,0,0.000,8,false
16.000,1,0.000,23,false
16.000,2,1.000,24,false
16.000,3,9.000,53,false
16.000,4,3.000,56,false
17.000,0,1.000,8,false
17.000,1,2.000,25,false
17.000,2,0.000,24,false
17.000,3,3.000,56,false
17.000,4,2.000,58,false
18.000,0,1.000,9,false
18.000,1,0.000,25,false
18.000,2,4.000,28,false
18.000,3,4.000,59,false
18.000,4,5.000,63,false
19.000,0,1.000,10,false
19.000,1,1.000,26,false
19.000,2,2.000,29,false
19.000,3,2.000,61,false
19.000,4,7.000,70,false
20.000,0,1.000,11,false
20.000,1,1.000,26,false
20.000,2,2.000,31,false
20.000,3,3.000,64,false
20.000,4,4.000,74,false
21.000,0,0.000,10,false
21.000,1,0.000,26,false
21.000,2,0.000,31,false
21.000,3,2.000,66,false
21.000,4,5.000,79,false
22.000,0,0.000,10,false
22.000,1,3.000,29,false
22.000,2,1.000,32,false
22.000,3,1.000,67,false
22.000,4,5.000,84,false
23.000,0,0.000,10,false
23.000,1,4.000,32,false
23.000,2,2.000,34,false
23.000,3,2.000,69,false
23.000,4,0.000,83,false
24.000,0,3.000,13,false
24.000,1,4.000,36,false
24.000,2,1.000,35,false
24.000,3,2.000,71,false
24.000,4,2.000,85,false
25.000,0,1.000,14,false
25.000,1,0.000,36,false
25.000,2,1.000,36,false
25.000,3,1.000,72,false
25.000,4,1.000,86,false
26.000,0,1.000,14,false
26.000,1,2.000,38,false
26.000,2,5.000,40,false
26.000,3,1.000,73,false
26.000,4,4.000,90,false
27.000,0,0.000,14,false
27.000,1,4.000,42,false
27.000,2,3.000,43,false
27.000,3,3.000,76,false
27.000,4,3.000,92,false
28.000,0,2.000,16,false
28.000,1,2.000,44,false
28.000,2,1.000,44,false
28.000,3,2.000,78,false
28.000,4,2.000,94,false
29.000,0,1.000,17,false
29.000,1,1.000,45,false
29.000,2,1.000,45,false
29.000,3,2.000,79,false
29.000,4,1.000,95,false
30.000,0,0.000,16,false
30.000,1,4.000,48,false
30.000,2,3.000,48,false
30.000,3,6.000,85,false
30.000,4,3.000,98,false
31.000,0,0.000,16,false
31.000,1,0.000,48,false
31.000,2,1.000,49,false
31.000,3,2.000,87,false
31.000,4,4.000,102,false
32.000,0,0.000,16,false
32.000,1,1.000,49,false
32.000,2,3.000,52,false
32.000,3,6.000,93,false
32.000,4,8.000,110,false
33.000,0,3.000,19,false
33.000,1,0.000,48,false
33.000,2,4.000,56,false
33.000,3,2.000,95,false
33.000,4,3.000,113,false
34.000,0,2.000,21,false
34.000,1,1.000,49,false
34.000,2,3.000,58,false
34.000,3,11.000,106,false
34.000,4,5.000,117,false
35.000,0,0.000,21,false
35.000,1,0.000,49,false
35.000,2,0.000,58,false
35.000,3,4.000,110,false
35.000,4,0.000,117,false
36.000,0,0.000,21,false
36.000,1,1.000,49,false
36.000,2,4.000,62,false
36.000,3,3.000,112,false
36.000,4,3.000,120,false
37.000,0,0.000,21,false
37.000,1,2.000,51,false
37.000,2,1.000,63,false
37.000,3,0.000,112,false
37.000,4,2.000,122,false
38.000,0,1.000,22,false
38.000,1,0.000,51,false
38.000,2,3.000,66,false
38.000,3,4.000,116,false
38.000,4,2.000,124,false
39.000,0,1.000,23,false
39.000,1,1.000,52,false
39.000,2,3.000,69,false
39.000,3,0.000,116,false
39.000,4,3.000,127,false
40.000,0,0.000,23,false
40.000,1,1.000,52,false
40.000,2,2.000,70,false
40.000,3,6.000,122,false
40.000,4,4.000,131,false
41.000,0,2.000,25,false
41.000,1,0.000,52,false
41.000,2,3.000,73,false
41.000,3,6.000,128,false
41.000,4,6.000,136,false
42.000,0,0.000,25,false
42.000,1,1.000,53,false
42.000,2,1.000,74,false
42.000,3,2.000,129,false
42.000,4,3.000,139,false
43.000,0,1.000,26,false
43.000,1,1.000,53,false
43.000,2,3.000,77,false
43.000,3,4.000,133,false
43.000,4,5.000,144,false
44.000,0,2.000,28,false
44.000,1,1.000,54,false
44.000,2,2.000,79,false
44.000,3,4.000,137,false
44.000,4,6.000,150,false
45.000,0,2.000,30,false
45.000,1,0.000,54,false
45.000,2,5.000,84,false
45.000,3,1.000,138,false
45.000,4,7.000,157,false
46.000,0,3.000,33,false
46.000,1,0.000,54,false
46.000,2,1.000,85,false
46.000,3,2.000,140,false
46.000,4,3.000,159,false
47.000,0,1.000,34,false
47.000,1,0.000,54,false
47.000,2,4.000,89,false
47.000,3,2.000,142,false
47.000,4,7.000,166,false
48.000,0,3.000,36,false
48.000,1,1.000,55,false
48.000,2,2.000,90,false
48.000,3,1.000,143,false
48.000,4,2.000,168,false
49.000,0,0.000,36,false
49.000,1,1.000,56,false
49.000,2,1.000,91,false
49.000,3,6.000,148,false
49.000,4,8.000,176,false
50.000,0,1.000,37,false
50.000,1,1.000,56,false
50.000,2,1.000,92,false
50.000,3,3.000,151,false
50.000,4,7.000,183,false
51.000,0,1.000,38,false
51.000,1,1.000,57,false
51.000,2,3.000,95,false
51.000,3,2.000,153,false
51.000,4,8.000,191,false
52.000,0,0.000,38,false
52.000,1,1.000,58,false
52.000,2,3.000,98,false
52.000,3,3.000,156,false
52.000,4,4.000,195,false
53.000,0,1.000,39,false
53.000,1,1.000,59,false
53.000,2,0.000,98,false
53.000,3,2.000,158,false
53.000,4,3.000,197,false
54.000,0,1.000,40,false
54.000,1,3.000,62,false
54.000,2,0.000,97,false
54.000,3,1.000,158,false
54.000,4,4.000,201,false
55.000,0,1.000,40,false
55.000,1,1.000,63,false
55.000,2,3.000,100,false
55.000,3,0.000,158,false
55.000,4,4.000,205,false
56.000,0,1.000,41,false
56.000,1,2.000,65,false
56.000,2,2.000,102,false
56.000,3,1.000,159,false
56.000,4,5.000,210,false
57.000,0,1.000,42,false
57.000,1,2.000,66,false
57.000,2,0.000,102,false
57.000,3,5.000,164,false
57.000,4,3.000,212,false
58.000,0,1.000,43,false
58.000,1,6.000,72,false
58.000,2,1.000,102,false
58.000,3,6.000,170,false
58.000,4,3.000,215,false
59.000,0,0.000,42,false
59.000,1,2.000,74,false
59.000,2,2.000,104,false
59.000,3,2.000,172,false
59.000,4,3.000,218,false
60.000,0,2.000,44,false
60.000,1,1.000,75,false
60.000,2,2.000,106,false
60.000,3,0.000,172,false
60.000,4,5.000,223,false
61.000,0,0.000,44,false
61.000,1,1.000,76,false
61.000,2,5.000,111,false
61.000,3,0.000,171,false
61.000,4,2.000,224,false
62.000,0,0.000,44,false
62.000,1,3.000,79,false
62.000,2,3.000,113,false
62.000,3,0.000,171,false
62.000,4,6.000,230,false
63.000,0,0.000,44,false
63.000,1,0.000,78,false
63.000,2,1.000,114,false
63.000,3,3.000,174,false
63.000,4,7.000,237,false
64.000,0,1.000,44,false
64.000,1,1.000,79,false
64.000,2,2.000,116,false
64.000,3,2.000,175,false
64.000,4,2.000,238,false
65.000,0,0.000,44,false
65.000,1,3.000,82,false
65.000,2,0.000,116,false
65.000,3,3.000,178,false
65.000,4,8.000,246,false
66.000,0,1.000,45,false
